Name,NAME_CAPS
Algeria,ALGERIA
Angola,ANGOLA
Benin,BENIN
Botswana,BOTSWANA
Burkina Faso,BURKINA FASO
Burundi,BURUNDI
Cameroon,CAMEROON
Cape Verde,CAPE VERDE
Central African Republic,CENTRAL AFRICAN REPUBLIC
Chad,CHAD
Comoros,COMOROS
Congo,CONGO
Democratic Republic of the Congo,DEMOCRATIC REPUBLIC OF THE CONGO
Djibouti,DJIBOUTI
Egypt,EGYPT
Equatorial Guinea,EQUATORIAL GUINEA
Eritrea,ERITREA
Ethiopia,ETHIOPIA
Gabon,GABON
Gambia,GAMBIA
Ghana,GHANA
Guinea,GUINEA
Guinea-Bissau,GUINEA-BISSAU
Ivory Coast,IVORY COAST
Kenya,KENYA
Lesotho,LESOTHO
Liberia,LIBERIA
Libya,LIBYA
Madagascar,MADAGASCAR
Malawi,MALAWI
Mali,MALI
Mauritania,MAURITANIA
Mauritius,MAURITIUS
Mayotte,MAYOTTE
Morocco,MOROCCO
Mozambique,MOZAMBIQUE
Namibia,NAMIBIA
Niger,NIGER
Nigeria,NIGERIA
Reunion,REUNION
Rwanda,RWANDA
Sahrawi Arab Democratic Republic,SAHRAWI ARAB DEMOCRATIC REPUBLIC
Saint Helena,SAINT HELENA
Sao Tome and Príncipe,SAO TOME AND PRÍNCIPE
Senegal,SENEGAL
Seychelles,SEYCHELLES
Sierra Leone,SIERRA LEONE
Somalia,SOMALIA
Somaliland,SOMALILAND
South Africa,SOUTH AFRICA
South Sudan,SOUTH SUDAN
Sudan,SUDAN
Swaziland,SWAZILAND
Tanzania,TANZANIA
Togo,TOGO
Tunisia,TUNISIA
Uganda,UGANDA
Zambia,ZAMBIA
Zimbabwe,ZIMBABWE
