Name,NAME_CAPS
Abkhazia,ABKHAZIA
Afghanistan,AFGHANISTAN
Akrotiri and Dhekelia,AKROTIRI AND DHEKELIA
Armenia,ARMENIA
Azerbaijan,AZERBAIJAN
Bahrain,BAHRAIN
Bangladesh,BANGLADESH
Bhutan,BHUTAN
British Indian Ocean Territory,BRITISH INDIAN OCEAN TERRITORY
Brunei,BRUNEI
Cambodia,CAMBODIA
China,CHINA
Christmas Island,CHRISTMAS ISLAND
Cocos (Keeling) Islands,COCOS (KEELING) ISLANDS
Cyprus,CYPRUS
East Timor,EAST TIMOR
Georgia,GEORGIA
Hong Kong,HONG KONG
India,INDIA
Indonesia,INDONESIA
Iran,IRAN
Iraq,IRAQ
Israel,ISRAEL
Japan,JAPAN
Jordan,JORDAN
Kazakhstan,KAZAKHSTAN
Kuwait,KUWAIT
Kyrgyzstan,KYRGYZSTAN
Laos,LAOS
Lebanon,LEBANON
Macau,MACAU
Malaysia,MALAYSIA
Maldives,MALDIVES
Mongolia,MONGOLIA
Myanmar,MYANMAR
Nagorno-Karabakh,NAGORNO-KARABAKH
Nepal,NEPAL
Northern Cyprus,NORTHERN CYPRUS
North Korea,NORTH KOREA
Oman,OMAN
Pakistan,PAKISTAN
Palestine,PALESTINE
Philippines,PHILIPPINES
Qatar,QATAR
Saudi Arabia,SAUDI ARABIA
Singapore,SINGAPORE
South Korea,SOUTH KOREA
South Ossetia,SOUTH OSSETIA
Sri Lanka,SRI LANKA
Syria,SYRIA
Taiwan,TAIWAN
Tajikistan,TAJIKISTAN
Thailand,THAILAND
Turkey,TURKEY
Turkmenistan,TURKMENISTAN
United Arab Emirates,UNITED ARAB EMIRATES
Uzbekistan,UZBEKISTAN
Vietnam,VIETNAM
Yemen,YEMEN
