Name,NAME_CAPS
Aland Islands,ALAND ISLANDS
Albania,ALBANIA
Andorra,ANDORRA
Austria,AUSTRIA
Belarus,BELARUS
Belgium,BELGIUM
Bosnia and Herzegovina,BOSNIA AND HERZEGOVINA
Bulgaria,BULGARIA
Croatia,CROATIA
Czech Republic,CZECH REPUBLIC
Denmark,DENMARK
Estonia,ESTONIA
Faroe Islands,FAROE ISLANDS
Finland,FINLAND
France,FRANCE
Germany,GERMANY
Gibraltar,GIBRALTAR
Greece,GREECE
Guernsey,GUERNSEY
Hungary,HUNGARY
Iceland,ICELAND
Ireland,IRELAND
Isle of Man,ISLE OF MAN
Italy,ITALY
Jan Mayen,JAN MAYEN
Jersey,JERSEY
Kosovo,KOSOVO
Latvia,LATVIA
Liechtenstein,LIECHTENSTEIN
Lithuania,LITHUANIA
Luxembourg,LUXEMBOURG
Macedonia,MACEDONIA
Malta,MALTA
Moldova,MOLDOVA
Monaco,MONACO
Montenegro,MONTENEGRO
Netherlands,NETHERLANDS
Norway,NORWAY
Poland,POLAND
Portugal,PORTUGAL
Romania,ROMANIA
Russia,RUSSIA
San Marino,SAN MARINO
Serbia,SERBIA
Slovakia,SLOVAKIA
Slovenia,SLOVENIA
Spain,SPAIN
Svalbard,SVALBARD
Sweden,SWEDEN
Switzerland,SWITZERLAND
Transnistria,TRANSNISTRIA
Ukraine,UKRAINE
United Kingdom,UNITED KINGDOM
Vatican City,VATICAN CITY
