Name,NAME_CAPS
Anguilla,ANGUILLA
Antigua and Barbuda,ANTIGUA AND BARBUDA
Aruba,ARUBA
Bahamas,BAHAMAS
Barbados,BARBADOS
Belize,BELIZE
Bermuda,BERMUDA
Bonaire,BONAIRE
British Virgin Islands,BRITISH VIRGIN ISLANDS
Canada,CANADA
Cayman Islands,CAYMAN ISLANDS
Clipperton Island,CLIPPERTON ISLAND
Costa Rica,COSTA RICA
Cuba,CUBA
Curaçao,CURAÇAO
Dominica,DOMINICA
Dominican Republic,DOMINICAN REPUBLIC
El Salvador,EL SALVADOR
Greenland,GREENLAND
Grenada,GRENADA
Guadeloupe,GUADELOUPE
Guatemala,GUATEMALA
Haiti,HAITI
Honduras,HONDURAS
Jamaica,JAMAICA
Martinique,MARTINIQUE
Mexico,MEXICO
Montserrat,MONTSERRAT
Navassa Island,NAVASSA ISLAND
Nicaragua,NICARAGUA
Panama,PANAMA
Puerto Rico,PUERTO RICO
Saba,SABA
Saint Barthélemy,SAINT BARTHÉLEMY
Saint Kitts and Nevis,SAINT KITTS AND NEVIS
Saint Lucia,SAINT LUCIA
Saint Martin,SAINT MARTIN
Saint Pierre and Miquelon,SAINT PIERRE AND MIQUELON
Saint Vincent and the Grenadines,SAINT VINCENT AND THE GRENADINES
Sint Eustatius,SINT EUSTATIUS
Sint Maarten,SINT MAARTEN
Trinidad and Tobago,TRINIDAD AND TOBAGO
Turks and Caicos Islands,TURKS AND CAICOS ISLANDS
United States of America,UNITED STATES OF AMERICA
United States Virgin Islands,UNITED STATES VIRGIN ISLANDS
