Name,NAME_CAPS
American Samoa,AMERICAN SAMOA
Ashmore and Cartier Islands,ASHMORE AND CARTIER ISLANDS
Australia,AUSTRALIA
Baker Island,BAKER ISLAND
Cook Islands,COOK ISLANDS
Coral Sea Islands,CORAL SEA ISLANDS
Fiji,FIJI
French Polynesia,FRENCH POLYNESIA
Guam,GUAM
Howland Island,HOWLAND ISLAND
Jarvis Island,JARVIS ISLAND
Johnston Atoll,JOHNSTON ATOLL
Kingman Reef,KINGMAN REEF
Kiribati,KIRIBATI
Marshall Islands,MARSHALL ISLANDS
Micronesia,MICRONESIA
Midway Atoll,MIDWAY ATOLL
Nauru,NAURU
New Caledonia,NEW CALEDONIA
New Zealand,NEW ZEALAND
Niue,NIUE
Norfolk Island,NORFOLK ISLAND
Northern Mariana Islands,NORTHERN MARIANA ISLANDS
Palau,PALAU
Palmyra Atoll,PALMYRA ATOLL
Papua New Guinea,PAPUA NEW GUINEA
Pitcairn Islands,PITCAIRN ISLANDS
Samoa,SAMOA
Solomon Islands,SOLOMON ISLANDS
Tokelau,TOKELAU
Tonga,TONGA
Tuvalu,TUVALU
Vanuatu,VANUATU
Wake Island,WAKE ISLAND
Wallis and Futuna,WALLIS AND FUTUNA
